path,classification,stage,reason
artifacts/claim_ledger.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/coverage.json,GENERATED_REPRODUCIBLE,YES,canonical derived artifact pinned by immutable release manifest
artifacts/data_leakage_audit.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/data_scan.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/data_source.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e00_environment/cuda_probe.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e00_environment/final_cuda_smoke.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e00_environment/post_reboot_cuda_probe.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e00_environment/qualification.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_b0_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_baseline_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_baseline_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_gpu_contention.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_96_token/episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_96_token/invalidity.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_96_token/traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_pre_finalization/episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_pre_finalization/manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_pilot_pre_finalization/traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e09_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step120_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step120_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step120_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step30_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step30_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3-sft-seed11-step30_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3_seed11_step120_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e10_b3_seed11_step30_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b4-dpo-seed11-scripted_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b4-dpo-seed11-scripted_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b4-dpo-seed11-scripted_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b4_seed11_scripted_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b4_vs_b3_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b5-ipo-seed11-scripted_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b5-ipo-seed11-scripted_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b5-ipo-seed11-scripted_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b5_seed11_scripted_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b5_vs_b3_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b6-robust-dpo-seed11-scripted_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b6-robust-dpo-seed11-scripted_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b6-robust-dpo-seed11-scripted_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b6_seed11_scripted_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_b6_vs_b3_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-ipo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-ipo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-ipo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-robust_dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-robust_dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise05-robust_dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-ipo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-ipo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-ipo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-robust_dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-robust_dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise10-robust_dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-ipo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-ipo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-ipo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-robust_dpo_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-robust_dpo_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e13_noise20-robust_dpo_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7-act-pair-seed11-scripted_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7-act-pair-seed11-scripted_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7-act-pair-seed11-scripted_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7_seed11_scripted_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7_vs_b3_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e14_b7_vs_b4_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0-act-po-seed11-scripted_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0-act-po-seed11-scripted_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0-act-po-seed11-scripted_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0_seed11_scripted_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0_vs_b3_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_m0_vs_b7_seed11_paired_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise05-act_po_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise05-act_po_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise05-act_po_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise10-act_po_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise10-act_po_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise10-act_po_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise20-act_po_episodes.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise20-act_po_rollout_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e15_noise20-act_po_traces.jsonl,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e16_sft_seed_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e16_training_seed_audit.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e17_power_exploratory.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-act_po_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-act_po_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-ipo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-ipo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-robust_dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise05-robust_dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-act_po_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-act_po_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-ipo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-ipo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-robust_dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise10-robust_dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-act_po_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-act_po_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-ipo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-ipo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-robust_dpo_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e23_noise20-robust_dpo_vs0_comparison.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/e24_ablation_diagnostics.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/eda_statistics.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/environment_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/external_source_access.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/final_verdict.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/freeze_readiness.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/gpu_reservation.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E09.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E10.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E11.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E12.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E13.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E14.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E15.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E16.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E17.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E18.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E19.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E20.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E21.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E22.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E23.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E24.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E25.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E26.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E27.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E28.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/E29.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/final_technical_report.md,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/final_verdict.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/interim_sandbox_blocked/run_state.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/model_qualification.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/model_source_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/pairwise_development_training_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_audit.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_noise_development_summary.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_noise_evaluation_plan.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_noise_plan.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_noise_training_audit.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/preference_token_manifest.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/protected_access_ledger.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/protected_freeze_decision.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
